Название,Артикул,Цена,Бренд,Категория,Описание,Картинки,Ссылка на товар 
"Rosendo Mateu Nº 5 Floral, Amber, Sensual Musk 100 ml LUXE","Селективная (нишевая) парфюмерия Rosendo Mateu Nº 5 Floral, Amber, Sensual Musk 100 ml LUXE",3792,Rosendo Mateu,Женская парфюмерия,"Восточно-цветочный аромат Rosendo Mateu «№ 5 Floral, Amber, Sensual Musk» (№5 цветочный, амбра, чувственный мускус) понравится тем женщинам и мужчинам, которые привыкли выбирать лучшее из лучших во всем. Оригинальный и дорогой парфюм подчеркивает высокий статус своего владельца и выделяет его среди других, позволяя наслаждаться повышенным вниманием окружающих. С ним вы всегда будете чувствовать себя естественно и непринужденно, не ограничивая собственные желания и индивидуальность.Начальные ноты букета Розендо Матеу «№5 Флорал, Амбер, Сеншуал Маск» завораживают медовой сладостью летних цветов и пряным теплом редких специй. Постепенно к этому дуэту ингредиентов присоединяются харизматичные вкрапления горьковатых лепестков цветка гвоздики и обворожительно-белого ландыша. В базе композиции во всей красе раскрываются стильные оттенки таинственного мускуса, чувственной животной амбры и обаятельной стручковой ванили.",https://ik.imagekit.io/q6gbfd9lb/indexVV.800x600w.jpg_51668c4993b35efcf40d353f1d205d88.jpg,http://parfume-opt.ru/products/n_5_floral_amber_sensual_musk_100_ml_luxe
Chanel Allure Sensuelle  100 ml  LUXE,Качество LUXE Chanel Allure Sensuelle  100 ml  LUXE,2556,Chanel,Женская парфюмерия,"Chanel Allure Sensuelle (Шанель Аллюр Сенсуэль) от Chanel – это роскошный женский аромат, созданный в 1996 году. Парфюм стал продолжением всеми любимого Chanel Allure, появление которого в свое время произвело настоящий фурор в мире моды и парфюмерии.Шанель Аллюр Сенсуель шикарен, это не просто очередная дорогая новинка, его аромат напоминает летящую легкость и эфирность летнего ветерка. Эти духи роскошны в своей простоте и одновременно глубине. Его главный аргумент – это искренняя радостность и увлекательная интрига. Парфюм удивляет и окутывает своими сладкими сетями каждого, хоть раз его вдохнет.Композиция аромата состоит из нот ветивера, бергамота, ванили, мандарина, пачули, розы, жасмина, ладана, ириса и амбры. Chanel Allure Sensuelle словно красочное полотно великого художника, он притягивает взгляды и дарит огромное удовольствие.",https://ik.imagekit.io/q6gbfd9lb/indexHJK.800x600w.jpg_252c3d76dd3d005039064cfd4837c1cd.jpg,http://parfume-opt.ru/products/allure_sensuelle_100_ml_luxe
Chloe Nomade Eau De Toilette 75 ml LUXE,оригинальная упаковка Chloe Nomade Eau De Toilette 75 ml LUXE,2436,Chloe,Женская парфюмерия,"Nomade Eau De Toilette — элитная туалетная вода с шипрово-цветочным ароматом для женщин, созданная в 2019 году парфюмером Quentin Bisch для французского парфюмерного бренда Chloe. Сияющая, солнечная и невероятно женственная композиция представляет собой облегченную версию знаменитых духов Chloe Nomade, которая поражает идеальной композицией и лаконичностью повествования.Аромат открывается освежающими, сладкими, сочными фруктовыми аккордами душистой сливы, которые сплетаются в средних нотах пирамидки композиции с прелестными цветочными оттенками игристой белой фрезии и завершаются пряно-лесными, чуть кожаными, зелеными акцентами дубового мха.",https://ik.imagekit.io/q6gbfd9lb/index988788.800x600w.jpg_8616db1c8432b802c1554b4744b3e607.jpg,http://parfume-opt.ru/products/nomade_eau_de_toilette_75_ml_luxe
Yves Saint Laurent Collector Edition 2020 90 ml LUXE,оригинальная упаковка Yves Saint Laurent Collector Edition 2020 90 ml LUXE,2340,Yves Saint Laurent,Женская парфюмерия,"Очаровательная парфюмерная линейка Mon Paris, прославившая дом высокой моды Yves Saint Laurent, в 2020 году получила долгожданное продолжение. Яркий цветочный “шипр” Yves Saint Laurent Mon Paris Collector Edition 2020 вмиг нашел отклик в душах даже самых капризных и искушенных поклонниц современной парфюмерии, а оригинальное коллекционное издание стало предметом гордости в коллекциях самых именитых особ. Как и прежде, новый стильный аромат вновь приглашает нас погрузиться в водоворот самых ярких и чувственных человеческих страстей, сохраняя при этом свое фирменное благородство и ольфакторную грацию звучания. Для создания подобной парфюмерной феерии одного мастера было бы недостаточно, потому аромат объединил в себе почерки трех самых знаменитых современных маэстро - Olivier Cresp, Harry Fremont и Dora Baghriche. Композиция стала отражением трех этапов искренней Любви, которые неизбежно следуют один за другим, перерождаясь и трансформируясь незаметно для двух влюбленных людей. Стартовые аккорды - это зарождение, начало симпатии и нежный “конфетно-букетный” период, отраженный в бархатистых оттенках малины и груши, солнечном сиянии бергамота, апельсина и мандарина. В сердечном диапазоне аромата Yves Saint Laurent Mon Paris Collector Edition 2020 вспыхивает настоящая страсть, возносящая ввысь потоками китайского жасмина и жасмина самбак, роскошью флердоранжа и искренностью весеннего пиона. Когда страсти утихают, остается близость, взаимопонимание и трепет перед любимым человеком, который лучше всего ощущается в звучании стойкого древесно-ванильного шлейфа, усыпанного нюансами индонезийского пачули, мха и белого кедра.",https://ik.imagekit.io/q6gbfd9lb/index_20B.800x600w.jpg_f590413f13e474883c026644065b93d5.jpg,http://parfume-opt.ru/products/collector_edition_2020_90_ml_luxe
Ormonde Jayne Montabaco 120 ml LUXE,Селективная (нишевая) парфюмерия Ormonde Jayne Montabaco 120 ml LUXE,4980,Ormonde Jayne,Женская парфюмерия,"Ormonde Jayne Montabaco («Ормонд Джейн. Монтабако») выпущен в 2012 году. Авторами аромата стали парфюмеры Linda Pilkington и Geza Schoen. Аромат для женщин и мужчин принадлежит к группе восточных фужерных. Парфюм, как латиноамериканский любовник – жаркий, страстный и неукротимый.Яркие дымные ноты в сочетании с запахом горячей кожи вызывают вспоминания о бесстрашных матадорах и их знойных Кармен. Montabaco – это драматический запах, в котором кипят нешуточные страсти. Эта композиция входит в небольшую коллекцию, посвященную различным странам. Еще в ней вы найдете аромат, Nawab of Oudh, вдохновленный Индией.Ormonde Jayne Montabaco состоит из апельсина, бергамота, можжевельника, мускатного шалфея, кардамона, магнолии, жасмина, листьев табака, бобов Тонка, кожи и сандала.",https://ik.imagekit.io/q6gbfd9lb/indexHMB.800x600w.jpg_5757c2772b909a37fa2143cf3dbaf442.jpg,http://parfume-opt.ru/products/montabaco_120_ml_luxe
AJMAL  Amber Wood Noir 100 ml LUXE,Селективная (нишевая) парфюмерия AJMAL  Amber Wood Noir 100 ml LUXE,4440,AJMAL,Женская парфюмерия,"Ajmal Amber Wood Noir — восточная парфюмерная вода класса люкс с древесно-цветочным мускусным ароматом для женщин и мужчин, представленная в 2020 году арабским парфюмерным брендом Ajmal. Провоцирующий, темпераментный и чувственный аромат — обновленная, более насыщенная, страстная и «темная» версия парфюма Ajmal Amber Wood 2014 года выпуска.Аромат ярко стартует искристыми освежающими нотами цитрусов и богатым букетом душистых пряных восточных специй. Центр пирамидки композиции мягко звучит чарующим сплетением элегантных благородных древесных нот и пьянящих цветочных оттенков, которые соединяются в шлейфе парфюма Amber Wood Noir с древесными нотами, чувственными мускусными оттенками и тонким освежающим запахом амбры.",https://ik.imagekit.io/q6gbfd9lb/indexT65U6.800x600w.jpg_4306abab3602e6114be999ec572caef3.jpg,http://parfume-opt.ru/products/amber_wood_noir_100_ml_luxe
Roja Dove Elixir 100 ml LUXE,Селективная (нишевая) парфюмерия Roja Dove Elixir 100 ml LUXE,2580,Roja Dove,Женская парфюмерия,"Elixir — роскошный и многогранный женский цветочный парфюм, украшенный легкой дымкой восточных нот. Аромат выпущен в 2018 году британским нишевым парфюмерным брендом Roja Dove. Упрятанный в роскошный флакон, аромат способен украсить любой женский образ, придав ему особый шарм и изысканность.Ароматическая композиция встречает цитрусовой свежестью бергамота, в которую мелено и грациозно вплетаются цветочные ноты иланг-иланга, фиалки, ландыша, розы, гелиотропа и жасмина. Фруктовые оттенки малины и медового персика придают сердечному аккорду особую красоту и глубину звучания. А завершает композицию роскошный, струящийся ароматический шлейф, сотканный из древесных нот кашмерана и хвойно-дымного кедра, пряно-девесных оттенков корня ириса, запаха бархатистых листьев фиалки, нежного мускуса и утонченной сладости ванили.",https://ik.imagekit.io/q6gbfd9lb/index666.800x600w.jpg_201a4060daf95447509a632cf0674382.jpg,http://parfume-opt.ru/products/elixir_100_ml_luxe
Initio Parfums Musk Therapy 90 ml LUXE,Селективная (нишевая) парфюмерия Initio Parfums Musk Therapy 90 ml LUXE,4176,Initio Parfums,Женская парфюмерия,"Musk Therapy — мягкий, волнующий и упоительный древесно-цитрусовый унисекс-парфюм, окутанный мерцающей мускусной дымкой французского нишевого парфюмерного бреда Initio Parfums Prives. Как и следует из названия, композиция посвящена мускусу и стремится показать его во всей многогранности звучания. Закройте глаза, вдохните аромат и почувствуйте новые ощущения, ощутите силу ароматической терапии... Натуральное белое сандаловое дерево в сочетании с нежнейшими оттенками белого и розового мускуса создает захватывающий молочно-бархатный аккорд. Белая магнолия активирует рецепторы удовольствия, а лист черной смородины стимулирует энергию, высвобождая толику эротизма. Как волшебный усилитель настроения аромат Initio Parfums Prives Musk Therapy открывает путь к расслаблению, хорошему самочувствию и ощущению гармонии с окружающим миром",https://ik.imagekit.io/q6gbfd9lb/index634.800x600w.jpg_de3a4d181ad8212e71ef58ec32644cd8.jpg,http://parfume-opt.ru/products/musk_therapy_90_ml_luxe
Initio Parfums Oud For Happiness 90 ml LUXE,Селективная (нишевая) парфюмерия Initio Parfums Oud For Happiness 90 ml LUXE,4320,Initio Parfums,Женская парфюмерия,"Initio Parfums Prives Oud For Happiness — аромат, выпущенный в 2021 году, обладает восточным характером и адресован мужчинам и женщинам. Парфюмеры уверены, что в их силах сделать человека счастливым. Чтобы это волшебство стало реальным, они соединили ноты великолепного уда и бергамота, имбиря, лакричника и кедра, мускуса и ванили. Композиция дает силы для новых свершений, расслабляет, помогая забыть о стрессах, неуверенности в себе и беспочвенных тревогах. Натуральные компоненты аромата Initio Parfums Prives Oud For Happiness гарантируют его полнотелость и глубину, стойкость и абсолютную естественность. Представляя парфюм, его создатели предлагают найти свой путь в тайное измерение, где царит гармония, и ждет счастье.",https://ik.imagekit.io/q6gbfd9lb/index645.800x600w.jpg_fa263c0653fade69f0d64990076f04c8.jpg,http://parfume-opt.ru/products/oud_for_happiness_90_ml_luxe
Narciso Rodriguez For Her Musc Noir Rose 100 ml LUXE,новинки парфюмерии 2021-2022 Narciso Rodriguez For Her Musc Noir Rose 100 ml LUXE,2496,Narciso Rodriguez,Женская парфюмерия,"Narciso Rodriguez For Her Musc Noir Rose — элитная парфюмерная вода с кожаным древесно-мускусным древесным ароматом для женщин, выпущенная в 2021 году американским парфюмерным брендом Narciso Rodriguez. Насыщенный, таинственный и завораживающий женский аромат For Her Musc Noir Rose является «одой внутренней красоте женщины» и это очередной фланкер популярного Narciso Rodriguez Musc 2009 года выпуска.Сладкими сочными фруктовыми акцентами душистой спелой сливы ярко стартует аромат, который наполняется в центре композиции чувственными сексуальными мускусными оттенками и сладостными кремовыми цветочно-цитрусовыми нотами гелиотропа (символа преданности и вечной любви). Притягательный мягкий волнующий шлейф аромата Narciso Rodriguez For Her Musc Noir Rose звучит теплыми чувственными нотами кожи.",https://ik.imagekit.io/q6gbfd9lb/index32.800x600w.jpg_dfbfe831ebf7eb678997c6a9ff439e19.jpg,http://parfume-opt.ru/products/for_her_musc_noir_rose_100_ml_luxe
Giorgio Armani Privé New York 100 ml LUXE,Селективная (нишевая) парфюмерия Giorgio Armani Privé New York 100 ml LUXE,2820,Giorgio Armani,Женская парфюмерия,"Серия эксклюзивных духов «Armani Privé» от итальянского модного дома Giorgio Armani в августе нынешнего года пополнилась новой лимитированной женской композицией, получившей название Armani Privé New York. Авторство парфюма принадлежит молодому парфюмеру Фанни Бал из компании IFF. Новинка посвящается Нью-Йорку – его истории и культуре.Сложный мускусный древесно-цветочный парфюмерный продукт позиционируется, как сияющий и светлый, чувственный и обволакивающий аромат. В нем воплощены роскошь и свободный дух, современный характер и изысканность мегаполиса. Именно поэтому парфюмерная композиция строится на редких, драгоценных компонентах, которые  символизируют утончённость и женственность.Основу новинки составили выразительные мягкие мускусные ноты, дополняющиеся умеренными ванильными штрихами, цветочно-пудровыми тонами и лёгкими нюансами свежести.",https://ik.imagekit.io/q6gbfd9lb/index8.800x600w.jpg_957c464a7a44b0e99b61472dfca11876.jpg,http://parfume-opt.ru/products/priv_new_york_100_ml_luxe
Trussardi Donna 2011 100 ml LUXE,оригинальная упаковка Trussardi Donna 2011 100 ml LUXE,2628,Trussardi,Женская парфюмерия,"Trussardi Donna 2011 — легкий, нежный и завораживающий женский восточно-цветочный аромат, выпущенный в 2011 году итальянским модным домом Trussardi. Парфюм представляет собой фланкер культового аромата Donna Trussardi, вышедшего в свет в 1994 году. В новой редакции парфюм обрел более современное, легкое и утонченное звучание Trussardi Donna. Аромат выражает современную харизматичную женственность, исполненную сияния красоты и чувственности, очарования и роскоши.В верхнем аккорде парфюм Donna 2011 дарит искристую цитрусовую свежесть цитрона и юдзу, соединенную со сладостью сочных спелых фруктов. В сердце композиции тонкий запах жасминового чая соединяется с медовым запахом апельсинового цвета и восхитительным пряным ароматом водяной лилии. Отзвучав, волшебный цветочный букет медленно растворяется в теплой, волнующей базе финального аккорда Trussardi Donna 2011, сплетенной из теплой пряности белого пачули, бархатисто-сливочного сандала, хвойно-дымного кедра, утонченной ванили и нежного сливочного аккорда.",https://ik.imagekit.io/q6gbfd9lb/index5.800x600w.jpg_3d00dc63e04ed679accda5c4b0d03fa5.jpg,http://parfume-opt.ru/products/donna_2011_100_ml_luxe
Versace Eros Flame 100ml LUXE,оригинальная упаковка Versace Eros Flame 100ml LUXE,2496,Versace,Женская парфюмерия,"Eros Flame — мужской одеколон класса люкс с пряным древесным ароматом создан в 2018 году парфюмером Olivier Pescheux для итальянского модного дома Versace. Богатый насыщенный аромат создан для чувственных сексуальных мужчин, которые обладают невероятным мужским обаянием и несомненной притягательной привлекательностью.Аромат открывается свежим цитрусовым коктейлем мандарина, апельсина и лимона, специевыми аккордами душистого черного перца и розмарина, которые страстно сплетаются в «сердце» композиции со сладковато-мятным травянистым запахом герани и элегантными благородными древесными нотами. Волнующий чувственный шлейф парфюма Versace Eros Flame звучит пудровыми ванильными акцентами и мягким теплым аккордом фасоли, древесными оттенками ветивера, кедра и дубового мха с восточным пряным нюансом листьев пачули.",https://ik.imagekit.io/q6gbfd9lb/index_203.800x600w.jpg_9fd00fe6918a625b522fd15c2e745208.jpg,http://parfume-opt.ru/products/eros_flame_100ml_luxe
Guerlain L'Homme Ideal Eau De Parfum 100 ml LUXE,оригинальная упаковка Guerlain L'Homme Ideal Eau De Parfum 100 ml LUXE,2496,Guerlain,Женская парфюмерия,"Парфюм L’Homme Ideal Eau de Parfum – рисует образ идеального мужчины, умного, стильного, галантного, уверенного, целеустремленного, который всегда в центре внимания и очаровывает своей несравненной харизмой. Аромат является новинкой французского бренда Guerlain, он выпущен в начале 2016 года, создан двумя прекрасными парфюмерами Thierry Wasser и Delphine Jelk, воплотившие в нем все те качества, которые не оставят равнодушной ни одну женщину.Флакон парфюма– сама элегантность. Его четкие герметичные формы, толстое стекло выглядят достаточно солидно, передающие всю статность и благородство аромата. Парфюм начинается со свежих пикантных нот бергамота, маслянистых аккордов сладкого миндаля, слегка приправленных дорогими восточными специями. Далее он наполняется ароматным, сладко-дымным благоуханием болгарской розы, искушающей ванили и бальзамическими нюансами оригинального ладана. Густой шлей парфюма из нот сандала, бобов тонка и кожи, дарит уверенность в себе и умиротворяет заманивая в свои сети представительниц прекрасного пола.",https://ik.imagekit.io/q6gbfd9lb/index44545.800x600w.jpg_1e7ded02d0173d00a461ed8d1ed48305.jpg,http://parfume-opt.ru/products/lhomme_ideal_eau_de_parfum_100_ml_luxe
Guerlain L'Homme Ideal Extreme 100 ml LUXE,оригинальная упаковка Guerlain L'Homme Ideal Extreme 100 ml LUXE,2496,Guerlain,Женская парфюмерия,"L'Homme Ideal Extreme — интригующий, чарующий и пылкий мужской восточно-древесный аромат, выпущенный в 2020 году старинным французским парфюмерным брендом Guerlain. Идеальный мужчина — это миф, но Герлену удалось создать аромат такого мужчины. Эта новая интерпретация парфюма L'Homme Ideal, которая является идеальным воплощением силы, мужества и благородства.В верхнем аккорде парфюм раскрывается цитрусовой свежестью бергамота, горьковато-ореховыми оттенками миндаля и пряными нюансами розового перца. В сердце композиции пряный аромат гелиотропа сочетается с медовыми нотами сливы и бархатисто-специевыми оттенками корицы. В то время как база аромата демонстрирует истинно мужское звучание, отзываясь хвойно-дымными нотами могучего кедра, теплой, чуть землистой пряностью пачули, дымно-пряными оттенками табака и харизматичным запахом кожи.",https://ik.imagekit.io/q6gbfd9lb/index.800x600w.jpg_6b4030c04455c05bc6e8f01dcb430ef4.jpg,http://parfume-opt.ru/products/lhomme_ideal_extreme_100_ml_luxe
Женская Hugo Boss  Alive Intense 80 ml LUXE,Женская Hugo Boss  Alive Intense 80 ml LUXE,2640,Hugo Boss,Женская парфюмерия,"Hugo Boss Boss Alive Intense — женский фруктово-древесный парфюм, выпущенный брендом Hugo Boss в 2022 году в рамках коллекции Boss Alive. Яркий аромат выражает истинную жажду жизни и мужество девушки BOSS. Композиция создана для женщин, которые не боятся рисковать и выходить из зоны комфорта. Аромат вдохновляет быть смелой и чувствовать настоящую страсть к жизни.Парфюм Boss Alive Intense стартует с насыщенных сладких оттенков спелых ягод малины, изысканные нотки которых излучают положительную энергию. Продолжение из смолистого бензоина создает ауру загадочности и чувственности, формируя ощущение уверенности в себе и женственности. За чувственным бензоином скрывается ветивер с его древесной многогранностью, завершающий звучание парфюма. Древесная база с ярким ветивером отражает целеустремленность современной женщины. Стеклянный флакон Hugo Boss Boss Alive Intense покрыт золотым декором, словно находится в драгоценной ювелирной оправе, а его яркий малиново-розовый оттенок подчеркивает страстный характер современной женщины.",https://ik.imagekit.io/q6gbfd9lb/index_20_20_D0_B0_D0_BB_D0_B8_D0_B2_D0_B5.800x600w.jpg_4d88be237efb5738739613c05a55b5b0.jpg,http://parfume-opt.ru/products/_alive_intense_80_ml_luxe
Мужская Le Labo Travel Tube 3*10ml Santal 33 LUXE,Мужская Le Labo Travel Tube 3*10ml Santal 33 LUXE,2640,Le Labo,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/10_80.800x600w.jpg_6a307228de98e244a3b384a36c119ed2.jpg,http://parfume-opt.ru/products/travel_tube_310ml_santal_33_luxe
Мужская MARC-ANTOINE BARROIS B683 Extrait LUXE,Мужская MARC-ANTOINE BARROIS B683 Extrait LUXE,3792,MARC-ANTOINE BARROIS,Женская парфюмерия,"Marc-Antoine Barrois B683 Extrait — глубокий, стильный и самобытный мужской древесно-пряный аромат, выпущенный в 2021 году французским домом моды Marc-Antoine Barrois. Парфюм представляет собой более яркую и насыщенную версию выходившего в 2016 году аромата B683. Аромат стал результатом плодотворного сотрудничества двух молодых дизайнеров — кутюрье Марка-Антуана Барруа и парфюмера Квентина Биша. Вместе они создали удивительную ароматическую композицию, в которую заложили любимые ароматы своего детства и гламурные мотивы высокой моды. В результате получился волшебный аромат с нотками специй, кожи и дерева. Создатели аромата сравнивают свое творение с маленькой воображаемой планетой. По аналогии с планетой Маленького принца B612, свою планету они назвали B683.В новой интерпретации создатели парфюма предлагают ощутить особый чувственный характер B683, погрузившись в теплоту и глубину древесно-кожаного сердечного аккорда. Здесь он приобретает новую интенсивность, превращаясь в настоящую «кожу пачули». Вокруг него другие ноты композиции сублимируют различные грани звучания почти с тактильной чувственностью. Перец и тмин создают вибрацию своих пряных акцентов, древесина уда усиливает густоту аккорда, а ваниль придает ему мягкость и чувственность.",https://ik.imagekit.io/q6gbfd9lb/9_84.800x600w.jpg_2c63613116fcd8420e9f4b8d8777a78c.jpg,http://parfume-opt.ru/products/b683_extrait_luxe
Женская Giorgio Armani Si Nacre Edition 2018 LUXE,Женская Giorgio Armani Si Nacre Edition 2018 LUXE,2700,Giorgio Armani,Женская парфюмерия,"Si Nacre Edition 2018 — элитная парфюмерная вода с цветочно-фруктовым ароматом для женщин, созданная в 2018 году знаменитым итальянским модным домом Armani. Яркий насыщенный лимитированный аромат — олицетворение истинной женственности и неземной красоты, стильная и модная женская современная парфюмерная композиция.Нежными пудровыми нотами ванили, восточными оттенками пряной пачули, изысканными цветочными акцентами жасмина, сочными сладкими фруктовыми аккордами ягод черной смородины, теплыми чувственными нотами мускуса, сладостным цветочно-ванильным марципановым акцентом гелиатропа и зелеными оттенками дубового мха струится волшебная сказочная парфюмерная композиция Si Nacre Edition 2018.",https://ik.imagekit.io/q6gbfd9lb/7_88.800x600w.jpg_728c67f0eab57f381971f0763b2cb333.jpg,http://parfume-opt.ru/products/si_nacre_edition_2018_luxe
Женская victoria's secret Bombshell Intense LUXE,Женская victoria's secret Bombshell Intense LUXE,2580,victoria's secret,Женская парфюмерия,"Bombshell Intense — легкий, волнующий и романтичный женский цветочно-фруктовый аромат, выпущенный в 2019 году американским модным брендом элитного нижнего женского белья Victoria's Secret. Парфюм является очередным фланкером популярного аромата Bombshell, выпущенного в 2010 году. На этот раз аромат приобрел более яркое, сексуальное звучание и оделся в ярко-красный полосатый флакон. Как и большинство парфюмерных композиций бренда, аромат представляет собой скорее ольфакторные зарисовки, чем сложные ароматические построения. Простая на первый взгляд композиция обладает ярким самобытным звучанием и позволяет во всей красе услышать красоту звучания каждого ароматического ингредиента. В верхнем аккорде композиции звучит тонкий, чуть пряный запах спелой вишни, который в сердце парфюма сменяется шелковисто-пряным ароматом душистого пиона. Завершает композицию нежная, упоительная сладость ванили, долгим послевкусием напоминающая о звучании парфюма.",https://ik.imagekit.io/q6gbfd9lb/6_93.800x600w.jpg_69ad85bb486cb46c5d846ce29a0670a9.jpg,http://parfume-opt.ru/products/bombshell_intense_luxe
Женская Dolce&Gabbana Light Blue Sun LUXE,Женская Dolce&Gabbana Light Blue Sun LUXE,2460,Dolce&Gabbana,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/5_91.800x600w.jpg_3aa561bbcf74e5aa475a82c99ed3c713.jpg,http://parfume-opt.ru/products/light_blue_sun_luxe
Мужская RicHard Black Mark LUXE,Мужская RicHard Black Mark LUXE,3792,RicHard,Женская парфюмерия,"Black mark – настоящий остров сокровищ полный экзотических фруктов, погружающий в атмосферу приключений и загадок.",https://ik.imagekit.io/q6gbfd9lb/4_91.800x600w.jpg_151214b24f2e7d6ad248e5f076253759.jpg,http://parfume-opt.ru/products/black_mark_luxe
Мужская RicHard White Chocola LUXE,Мужская RicHard White Chocola LUXE,3792,RicHard,Женская парфюмерия,"Richard White Chocola — восточная парфюмерная вода класса люкс с гурманским ароматом для женщин и мужчин, выпущенная в 2019 году парфюмерным брендом Richard. Чарующий парфюм White Chocola прекрасно оттенит и дополнит любой современный мужской или женский образ, даря теплый, сладкий и вкрадчивый аромат, в котором хочется просто раствориться.Свежими сочными нотками солнечного мандарина и пряно-бальзамическими аккордами мускатного ореха открывается аромат, наполняясь в «сердце» парфюмерной композиции сладкими соблазнительными гурманскими оттенками белого шоколада и нежной пудровой ванили. Мягкий чарующий шлейф аромата Richard White Chocola струится волнующими красивыми цветочными нотами медовой мимозы, душистого вишневого, персикового цвета и нежных цветков миндаля.",https://ik.imagekit.io/q6gbfd9lb/3_110.800x600w.jpg_07dc6c606cc57d79546d71fc1dc43299.jpg,http://parfume-opt.ru/products/white_chocola_luxe
Мужская PARLE MOI DE PARFUM Gardens Of India/79 LUXE,Мужская PARLE MOI DE PARFUM Gardens Of India/79 LUXE,3360,PARLE MOI DE PARFUM,Женская парфюмерия,"Gardens Of India/79 — селективная парфюмерная вода с цветочным ароматом для женщин и мужчин, созданная в 2019 году парфюмером Michel Almairac для французской парфюмерной марки Parle Moi de Parfum. Нежнейший, утонченный и совершенный аромат состоит всего из трех ароматических аккордов. Коспозиция создавалась более 10 лет и считается самым чистым по звучанию из парфюмов бренда.Волнующим и изысканным пряным запахом жасмина, интенсивными сладкими и насыщенными оттенками туберозы и элегантными древесными нотами нежного сливочного сандала звучит композиция парфюма Gardens Of India/79, обволакивая своего владельца волшебной, чуть мерцающей ароматической аурой.",https://ik.imagekit.io/q6gbfd9lb/2_112.800x600w.jpg_200b6410338ddbc61d5243a7c8ede197.jpg,http://parfume-opt.ru/products/gardens_of_india79_luxe
Мужская Yves Saint Laurent Kouros,Мужская Yves Saint Laurent Kouros,1788,Yves Saint Laurent,Женская парфюмерия,"Yves Saint Laurent Kouros («Ив Сен Лоран. Курос») это классический, великолепный и неповторимый аромат, созданный для подлинных мужчин. Этот одеколон вышел в свет в 1981 году и с тех пор продолжает обретать все новых и новых поклонников эксклюзивного качества и гармоничного звучания. Этот парфюм из тех, что очаровывает первыми же нотами, заставляя забыть обо всем.Более свежей и спортивной вариацией на тему этого аромата стал парфюм Yves Saint Laurent Kouros Cologne Sport, посвященный молодым, деятельным и динамичным людям. Одеколон Yves Saint Laurent Kouros благодаря своему ненавязчивому и приятному характеру подойдет любому мужчине, ценящему индивидуальность и элегантность образа.Парфюмерная композиция этого аромата состоит из таких нот как горькая полынь, лавр, пряности, ладан, кориандр, герань, корица, шалфей, мед, ветивер, пачули, амбра, дубовый мох, гвоздика (пряность), гвоздика (цветок), древесина, жасмин, бергамота, мускус и кедр.",https://ik.imagekit.io/q6gbfd9lb/64_28.800x600w.jpg_f557e015536ca33a7d36ed83f4306917.jpg,http://parfume-opt.ru/products/kouros
Мужская Maison Francis Kurkdjian Paris Baccarat Rouge 540 Extrait De Parfume 200ml LUXE,Мужская Maison Francis Kurkdjian Paris Baccarat Rouge 540 Extrait De Parfume 200ml LUXE,3120,Maison Francis Kurkdjian Paris,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/57_31.800x600w.jpg_7025bf196f2fb465eed486be6817b51e.jpg,http://parfume-opt.ru/products/baccarat_rouge_540_extrait_de_parfume_200ml_luxe
Мужская Maison Francis Kurkdjian Paris Baccarat Rouge 540 200ml LUXE,Мужская Maison Francis Kurkdjian Paris Baccarat Rouge 540 200ml LUXE,3120,Maison Francis Kurkdjian Paris,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/54_32.800x600w.jpg_f9bf3eb2d244106668665f3e03782818.jpg,http://parfume-opt.ru/products/baccarat_rouge_540_200ml_luxe
Мужская BYREDO Blanche Limited Edition 2021 100ml LUXE,Мужская BYREDO Blanche Limited Edition 2021 100ml LUXE,2496,BYREDO,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/53616_1641821763_BYREDO_Blanche_Limited_Edition_2021.800x600w.jpeg_509b564748b496f25c919d761fd36136.jpg,http://parfume-opt.ru/products/blanche_limited_edition_2021_100ml_luxe
Мужская BYREDO De Los Santos 100ml LUXE,Мужская BYREDO De Los Santos 100ml LUXE,2496,BYREDO,Женская парфюмерия,"Byredo De Los Santos — селективная парфюмерная вода с восточным ароматом для мужчин и женщин представлена в 2022 году парфюмерным брендом Byredo из Швеции. Великолепный пронзительный ясный унисекс парфюм De Los Santos — «аромат, созданный, чтобы прославлять жизнь пробуждает воспоминания и признает мимолетность».Аромат открывается травянистыми пряно-бальзамическими акцентами шалфея и фруктовыми аккордами сладкой сочной спелой сливы Мирабель, которые сплетаются в центре парфюмерной композиции с мягкими пудровыми нотами драгоценного эфирного масла корня ириса и холодными терпкими лимонно-хвойными акцентами ладанника. А завершается композиция Byredo De Los Santos чувственными «животными» оттенками мускуса, дымными древесно-бальзамическими нотами эфирного масла божественного ладана и тонким освежающим смолистым запахом особой молекулы амброксана.",https://ik.imagekit.io/q6gbfd9lb/53_32.800x600w.jpg_72d1ce0edff98a7f0375526e5ddb342e.jpg,http://parfume-opt.ru/products/de_los_santos_100ml_luxe
